"Wang Laboratories, Inc. v. Mitsubishi Electronics America, Inc.",03-Jan-97,103 F.3d 1571,http://lps3.1.next.westlaw.com.libproxy.snu.ac.kr/Document/I68486183940d11d993e6d35cc61aab4a/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad74012000001633a93fa6dfd45887c%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DI68486183940d11d993e6d35cc61aab4a%26startIndex%3D1701%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=3c26f8b014734e3e4189b86c9aa0c090&list=CUSTOMDIGEST&rank=1779&sessionScopeId=d6ac5fd5e62b12377c022c77403d2edbbb52ee3b908ca7602d7f52226be2a679&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F191997024437
"VLT, Inc. v. Artesyn Technologies, Inc.",24-May-04,103 Fed.Appx. 356,http://lps3.1.next.westlaw.com.libproxy.snu.ac.kr/Document/Ibb781c3e8b9111d99dcc8cc3e68b51e9/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad74012000001633a9d6359fd45c6ee%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DIbb781c3e8b9111d99dcc8cc3e68b51e9%26startIndex%3D401%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=a8164462241e34f1d8140ef1d4d5ec51&list=CUSTOMDIGEST&rank=419&sessionScopeId=d6ac5fd5e62b12377c022c77403d2edbbb52ee3b908ca7602d7f52226be2a679&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F42004532137
"Valmet Paper Machinery, Inc. v. Beloit Corp.",28-Jan-97,105 F.3d 1409,http://lps3.1.next.westlaw.com.libproxy.snu.ac.kr/Document/I240ad419940f11d993e6d35cc61aab4a/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad74012000001633a93fa6dfd45887c%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DI240ad419940f11d993e6d35cc61aab4a%26startIndex%3D3401%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=3c26f8b014734e3e4189b86c9aa0c090&list=CUSTOMDIGEST&rank=3433&sessionScopeId=d6ac5fd5e62b12377c022c77403d2edbbb52ee3b908ca7602d7f52226be2a679&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F11997040109
"J.T. Eaton & Co., Inc. v. Atlantic Paste & Glue Co.",11-Feb-97,106 F.3d 1563,http://lps3.1.next.westlaw.com.libproxy.snu.ac.kr/Document/I1e636461941311d9bdd1cfdd544ca3a4/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad74012000001633a93fa6dfd45887c%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DI1e636461941311d9bdd1cfdd544ca3a4%26startIndex%3D1301%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=3c26f8b014734e3e4189b86c9aa0c090&list=CUSTOMDIGEST&rank=1350&sessionScopeId=d6ac5fd5e62b12377c022c77403d2edbbb52ee3b908ca7602d7f52226be2a679&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F51997051096
Kolmes v. World Fibers Corp.,24-Feb-97,107 F.3d 1534,http://lps3.1.next.westlaw.com.libproxy.snu.ac.kr/Document/I76ca9e2a941311d9bdd1cfdd544ca3a4/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad74012000001633a93fa6dfd45887c%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DI76ca9e2a941311d9bdd1cfdd544ca3a4%26startIndex%3D1701%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=3c26f8b014734e3e4189b86c9aa0c090&list=CUSTOMDIGEST&rank=1709&sessionScopeId=d6ac5fd5e62b12377c022c77403d2edbbb52ee3b908ca7602d7f52226be2a679&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F91997056353
"Lockwood v. American Airlines, Inc.",04-Mar-97,107 F.3d 1565,http://lps3.1.next.westlaw.com.libproxy.snu.ac.kr/Document/I76a3dc48941311d9bdd1cfdd544ca3a4/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad74012000001633a93fa6dfd45887c%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DI76a3dc48941311d9bdd1cfdd544ca3a4%26startIndex%3D3401%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=3c26f8b014734e3e4189b86c9aa0c090&list=CUSTOMDIGEST&rank=3432&sessionScopeId=d6ac5fd5e62b12377c022c77403d2edbbb52ee3b908ca7602d7f52226be2a679&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F21997062584
"Fisher-Price, Inc. v. Safety 1st, Inc.",16-Aug-04,109 Fed.Appx. 387,http://lps3.1.next.westlaw.com.libproxy.snu.ac.kr/Document/I0f69fbad8bac11d99a6fdc806bf1638e/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad74012000001633a8d0872fd456043%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DI0f69fbad8bac11d99a6fdc806bf1638e%26startIndex%3D2101%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=26c210012e80dba21f0d0520542dedbf&list=CUSTOMDIGEST&rank=2144&sessionScopeId=d6ac5fd5e62b12377c022c77403d2edbbb52ee3b908ca7602d7f52226be2a679&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F12004974238
Gambro Lundia AB v. Baxter Healthcare Corp.,08-Apr-97,110 F.3d 1573,http://lps3.1.next.westlaw.com.libproxy.snu.ac.kr/Document/I301e686d941a11d9bdd1cfdd544ca3a4/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad74012000001633a93fa6dfd45887c%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DI301e686d941a11d9bdd1cfdd544ca3a4%26startIndex%3D2401%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=3c26f8b014734e3e4189b86c9aa0c090&list=CUSTOMDIGEST&rank=2435&sessionScopeId=d6ac5fd5e62b12377c022c77403d2edbbb52ee3b908ca7602d7f52226be2a679&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F91997087242
"Aspex Eyewear, Inc. v. Concepts In Optics, Inc.",12-Aug-04,111 Fed.Appx. 582,http://lps3.1.next.westlaw.com.libproxy.snu.ac.kr/Document/I350debb18bb011d99dcc8cc3e68b51e9/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad74012000001633a8d0872fd456043%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DI350debb18bb011d99dcc8cc3e68b51e9%26startIndex%3D1201%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=26c210012e80dba21f0d0520542dedbf&list=CUSTOMDIGEST&rank=1235&sessionScopeId=d6ac5fd5e62b12377c022c77403d2edbbb52ee3b908ca7602d7f52226be2a679&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F12004974241
"Robotic Vision Systems, Inc. v. View Engineering, Inc.",01-May-97,112 F.3d 1163,http://lps3.1.next.westlaw.com.libproxy.snu.ac.kr/Document/I0c591f30941d11d9bdd1cfdd544ca3a4/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad74012000001633a8d0872fd456043%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DI0c591f30941d11d9bdd1cfdd544ca3a4%26startIndex%3D2101%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=26c210012e80dba21f0d0520542dedbf&list=CUSTOMDIGEST&rank=2163&sessionScopeId=d6ac5fd5e62b12377c022c77403d2edbbb52ee3b908ca7602d7f52226be2a679&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F61997101702
Rowe v. Dror,21-Apr-97,112 F.3d 473,http://lps3.1.next.westlaw.com.libproxy.snu.ac.kr/Document/I2ffb500a941a11d9bdd1cfdd544ca3a4/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad74012000001633a8d0872fd456043%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DI2ffb500a941a11d9bdd1cfdd544ca3a4%26startIndex%3D801%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=26c210012e80dba21f0d0520542dedbf&list=CUSTOMDIGEST&rank=879&sessionScopeId=d6ac5fd5e62b12377c022c77403d2edbbb52ee3b908ca7602d7f52226be2a679&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F131997094308
"Slip Track Systems, Inc. v. Metal Lite, Inc.",01-Dec-04,113 Fed.Appx. 930,http://lps3.1.next.westlaw.com.libproxy.snu.ac.kr/Document/Ic05a70608a8b11d9af17b5c9441c4c47/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad74012000001633a89ff08fd4559d7%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DIc05a70608a8b11d9af17b5c9441c4c47%26startIndex%3D1%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=af19e994433e70ed7d5cc2a23e73764b&list=CUSTOMDIGEST&rank=85&sessionScopeId=d6ac5fd5e62b12377c022c77403d2edbbb52ee3b908ca7602d7f52226be2a679&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F22005632500
