DDR Holdings, LLC v. Hotels.com, L.P.	December 5, 2014	773 F.3d 1245	https://1.next.westlaw.com/Document/I5cabf7ab7cbb11e4a795ac035416da91/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad62aee0000016590dd88b803143fc6%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DI5cabf7ab7cbb11e4a795ac035416da91%26startIndex%3D1001%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=d0977508bb497f375372267e28499c8e&list=CUSTOMDIGEST&rank=1060&sessionScopeId=221320ac93018e3768a400fbd5e78b0e70ce2d190df934952f615989b5527c74&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F82034937126	[]	US Patent 6,993,572.	['wallach', 'chen']	['mayer']
Virnetx, Inc. v. Cisco Systems, Inc.	September 16, 2014	767 F.3d 1308	https://1.next.westlaw.com/Document/I282a80953dbb11e4a795ac035416da91/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad62aee0000016590dd88b803143fc6%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DI282a80953dbb11e4a795ac035416da91%26startIndex%3D1001%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=d0977508bb497f375372267e28499c8e&list=CUSTOMDIGEST&rank=1061&sessionScopeId=221320ac93018e3768a400fbd5e78b0e70ce2d190df934952f615989b5527c74&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F192034333117	US Patent 6,502,135, US Patent 7,418,504, US Patent 7,490,151, US Patent 7,921,211.	[]	['chen']	[]
Motorola Mobility, LLC v. International Trade Com'n	December 16, 2013	737 F.3d 1345	https://1.next.westlaw.com/Document/I8cdd3aff665c11e381b8b0e9e015e69e/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad62aee0000016590dd88b803143fc6%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DI8cdd3aff665c11e381b8b0e9e015e69e%26startIndex%3D1001%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=d0977508bb497f375372267e28499c8e&list=CUSTOMDIGEST&rank=1063&sessionScopeId=221320ac93018e3768a400fbd5e78b0e70ce2d190df934952f615989b5527c74&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F62032305460	[]	[]	['rader', 'prost', 'taranto']	[]
Comaper Corp. v. Antec, Inc.	September 6, 2013	539 Fed.Appx. 1000	https://1.next.westlaw.com/Document/If7cbb257213211e38910df21cb42a557/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad62aee0000016590dd88b803143fc6%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DIf7cbb257213211e38910df21cb42a557%26startIndex%3D1001%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=d0977508bb497f375372267e28499c8e&list=CUSTOMDIGEST&rank=1068&sessionScopeId=221320ac93018e3768a400fbd5e78b0e70ce2d190df934952f615989b5527c74&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F32031594859	US Patent 5,955,955.	[]	['rader', 'moore', 'clevenger']	[]
Apple Inc. v. International Trade Com'n	August 7, 2013	725 F.3d 1356	https://1.next.westlaw.com/Document/I4200e73aff7811e28503bda794601919/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad62aee0000016590dd88b803143fc6%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DI4200e73aff7811e28503bda794601919%26startIndex%3D1001%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=d0977508bb497f375372267e28499c8e&list=CUSTOMDIGEST&rank=1071&sessionScopeId=221320ac93018e3768a400fbd5e78b0e70ce2d190df934952f615989b5527c74&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F132031244567	[]	US Patent 7,663,607.	['moore', 'linn']	['reyna']
Rambus Inc. v. Rea	June 28, 2013	527 Fed.Appx. 902	https://1.next.westlaw.com/Document/Id431116de00511e28503bda794601919/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad62aee0000016590dd88b803143fc6%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DId431116de00511e28503bda794601919%26startIndex%3D1001%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=d0977508bb497f375372267e28499c8e&list=CUSTOMDIGEST&rank=1072&sessionScopeId=221320ac93018e3768a400fbd5e78b0e70ce2d190df934952f615989b5527c74&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F12030893547	US Patent 7,287,109.	[]	"['rader', ""o'malley""]"	['wallach']
Shimano, Inc. v. Rea	April 29, 2013	527 Fed.Appx. 1002	https://1.next.westlaw.com/Document/I90b05522b0c411e2a98ec867961a22de/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad62aee0000016590dd88b803143fc6%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DI90b05522b0c411e2a98ec867961a22de%26startIndex%3D1001%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=d0977508bb497f375372267e28499c8e&list=CUSTOMDIGEST&rank=1073&sessionScopeId=221320ac93018e3768a400fbd5e78b0e70ce2d190df934952f615989b5527c74&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F22030439348	[]	US Patent 6,478,711. Construed and Ruled	['dyk', 'bryson', 'newman']	[]
CEATS, Inc. v. Continental Airlines, Inc.	April 26, 2013	526 Fed.Appx. 966	https://1.next.westlaw.com/Document/I2652d601adf211e2a555d241dae65084/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad62aee0000016590dd88b803143fc6%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DI2652d601adf211e2a555d241dae65084%26startIndex%3D1001%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=d0977508bb497f375372267e28499c8e&list=CUSTOMDIGEST&rank=1074&sessionScopeId=221320ac93018e3768a400fbd5e78b0e70ce2d190df934952f615989b5527c74&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F12030433978	[]	US Patent 7,454,361, US Patent 7,548,866, US Patent 7,548,869, US Patent 7,660,728.	['rader', 'prost']	['schall']
SynQor, Inc. v. Artesyn Technologies, Inc.	March 13, 2013	709 F.3d 1365	https://1.next.westlaw.com/Document/Iecda554b8bfb11e2bae99fc449e7cd17/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad62aee0000016590dd88b803143fc6%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DIecda554b8bfb11e2bae99fc449e7cd17%26startIndex%3D1001%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=d0977508bb497f375372267e28499c8e&list=CUSTOMDIGEST&rank=1078&sessionScopeId=221320ac93018e3768a400fbd5e78b0e70ce2d190df934952f615989b5527c74&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F102030118821	[]	[]	['rader', 'lourie']	[]
Function Media, L.L.C. v. Kappos	March 7, 2013	508 Fed.Appx. 953	https://1.next.westlaw.com/Document/I9bf57d33874b11e2a531ef6793d44951/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad62aee0000016590dd88b803143fc6%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DI9bf57d33874b11e2a531ef6793d44951%26startIndex%3D1001%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=d0977508bb497f375372267e28499c8e&list=CUSTOMDIGEST&rank=1079&sessionScopeId=221320ac93018e3768a400fbd5e78b0e70ce2d190df934952f615989b5527c74&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F22029996460	[]	[]	['mayer', 'moore', 'wallach']	[]
