11,"United States Court of Appeals, Federal Circuit.","November 29, 2000",http://lps3.1.next.westlaw.com.libproxy.snu.ac.kr/Document/Iff3afe78799311d98c82a53fc8ac8757/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad7401600000163371ca5721821ede9%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DIff3afe78799311d98c82a53fc8ac8757%26startIndex%3D1%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=62bdde339b068df05f836018c339ea92&list=CUSTOMDIGEST&rank=11&sessionScopeId=968eef21bde5c9fec856fdad901d6f8db69bb1b15a57fa92a30c19daadd24fbf&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F52000627613
12,"United States Court of Appeals, Federal Circuit.","September 25, 1985",http://lps3.1.next.westlaw.com.libproxy.snu.ac.kr/Document/I8f8bbe9b94b211d993e6d35cc61aab4a/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad7401600000163371ca5721821ede9%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DI8f8bbe9b94b211d993e6d35cc61aab4a%26startIndex%3D1%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=62bdde339b068df05f836018c339ea92&list=CUSTOMDIGEST&rank=12&sessionScopeId=968eef21bde5c9fec856fdad901d6f8db69bb1b15a57fa92a30c19daadd24fbf&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F11985147720
13,"United States Court of Appeals, Federal Circuit.","November 9, 1984",http://lps3.1.next.westlaw.com.libproxy.snu.ac.kr/Document/I0de281e4946b11d9a707f4371c9c34f0/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad7401600000163371ca5721821ede9%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DI0de281e4946b11d9a707f4371c9c34f0%26startIndex%3D1%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=62bdde339b068df05f836018c339ea92&list=CUSTOMDIGEST&rank=13&sessionScopeId=968eef21bde5c9fec856fdad901d6f8db69bb1b15a57fa92a30c19daadd24fbf&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F11984153089
14,"United States Court of Appeals, Federal Circuit.","October 9, 1984",http://lps3.1.next.westlaw.com.libproxy.snu.ac.kr/Document/I9a54021c945811d9a707f4371c9c34f0/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad7401600000163371ca5721821ede9%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DI9a54021c945811d9a707f4371c9c34f0%26startIndex%3D1%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=62bdde339b068df05f836018c339ea92&list=CUSTOMDIGEST&rank=14&sessionScopeId=968eef21bde5c9fec856fdad901d6f8db69bb1b15a57fa92a30c19daadd24fbf&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F221984147020
15,"United States Court of Appeals, Federal Circuit.","September 6, 2001",http://lps3.1.next.westlaw.com.libproxy.snu.ac.kr/Document/If8557ecd79be11d98c82a53fc8ac8757/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad7401600000163371ca5721821ede9%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DIf8557ecd79be11d98c82a53fc8ac8757%26startIndex%3D1%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=62bdde339b068df05f836018c339ea92&list=CUSTOMDIGEST&rank=15&sessionScopeId=968eef21bde5c9fec856fdad901d6f8db69bb1b15a57fa92a30c19daadd24fbf&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F242001763233
16,"United States Court of Appeals, Federal Circuit.","November 9, 1984",http://lps3.1.next.westlaw.com.libproxy.snu.ac.kr/Document/Ib1d67cb9946211d9bc61beebb95be672/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad7401600000163371ca5721821ede9%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DIb1d67cb9946211d9bc61beebb95be672%26startIndex%3D1%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=62bdde339b068df05f836018c339ea92&list=CUSTOMDIGEST&rank=16&sessionScopeId=968eef21bde5c9fec856fdad901d6f8db69bb1b15a57fa92a30c19daadd24fbf&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F141984153086
17,"United States Court of Appeals, Federal Circuit.","November 9, 1984",http://lps3.1.next.westlaw.com.libproxy.snu.ac.kr/Document/Ib1d67cb9946211d9bc61beebb95be672/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad7401600000163371ca5721821ede9%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DIb1d67cb9946211d9bc61beebb95be672%26startIndex%3D1%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=62bdde339b068df05f836018c339ea92&list=CUSTOMDIGEST&rank=17&sessionScopeId=968eef21bde5c9fec856fdad901d6f8db69bb1b15a57fa92a30c19daadd24fbf&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F151984153086
18,"United States Court of Appeals, Federal Circuit.","February 2, 2001",http://lps3.1.next.westlaw.com.libproxy.snu.ac.kr/Document/I5d020c09799a11d98c82a53fc8ac8757/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad7401600000163371ca5721821ede9%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DI5d020c09799a11d98c82a53fc8ac8757%26startIndex%3D1%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=62bdde339b068df05f836018c339ea92&list=CUSTOMDIGEST&rank=18&sessionScopeId=968eef21bde5c9fec856fdad901d6f8db69bb1b15a57fa92a30c19daadd24fbf&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F72001114153
19,"United States Court of Appeals, Federal Circuit.","March 27, 1989",http://lps3.1.next.westlaw.com.libproxy.snu.ac.kr/Document/I4a373a5c970e11d9bdd1cfdd544ca3a4/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad7401600000163371ca5721821ede9%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DI4a373a5c970e11d9bdd1cfdd544ca3a4%26startIndex%3D1%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=62bdde339b068df05f836018c339ea92&list=CUSTOMDIGEST&rank=19&sessionScopeId=968eef21bde5c9fec856fdad901d6f8db69bb1b15a57fa92a30c19daadd24fbf&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F41989045782
20,"United States Court of Appeals, Federal Circuit.","March 27, 1989",http://lps3.1.next.westlaw.com.libproxy.snu.ac.kr/Document/I4a373a5c970e11d9bdd1cfdd544ca3a4/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad7401600000163371ca5721821ede9%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DI4a373a5c970e11d9bdd1cfdd544ca3a4%26startIndex%3D1%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=62bdde339b068df05f836018c339ea92&list=CUSTOMDIGEST&rank=20&sessionScopeId=968eef21bde5c9fec856fdad901d6f8db69bb1b15a57fa92a30c19daadd24fbf&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F51989045782
