"4,916,163",1990-04-10 0:00,0,2000-09-11 0:00,"['newman', 'skelton', 'archer']",[],7,5,0.5084745762711864
"5,169,227",1992-12-08 0:00,0,2000-09-28 0:00,"['bryson', 'mayer', 'rader']",[],6,0,0.48823529411764705
"4,283,408",1981-08-11 0:00,0,2000-11-03 0:00,"['newman', 'gajarsa', 'rader']",[],23,17,0.48823529411764705
"5,484,402",1996-01-16 0:00,0,2000-12-12 0:00,"['newman', 'mayer', 'schall']",[],12,21,0.5961538461538461
"4,314,081",1982-02-02 0:00,0,2001-05-30 0:00,"['friedman', 'gajarsa', 'mayer']",[],63,19,0.5548387096774193
"4,696,290",1987-09-29 0:00,0,2001-06-08 0:00,"['linn', 'michel', 'rader']",[],51,42,0.48823529411764705
"4,854,311",1989-08-08 0:00,0,2001-06-08 0:00,"['linn', 'michel', 'rader']",[],22,29,0.48823529411764705
"4,972,649",1990-11-27 0:00,0,2001-08-21 0:00,"['newman', 'gajarsa', 'michel']",[],47,17,0.6046511627906976
"4,537,375",1985-08-27 0:00,0,2001-11-13 0:00,"['newman', 'michel', 'schall']",[],21,8,0.5961538461538461
"4,973,511",1990-11-27 0:00,0,2002-05-13 0:00,"['clevenger', 'lourie', 'gajarsa']",[],24,27,0.6538461538461539
"6,039,119",2000-03-21 0:00,0,2002-05-14 0:00,"['schall', 'mayer', 'lourie']",[],2,28,0.6452830188679245
"5,575,405",1996-11-19 0:00,0,2002-06-07 0:00,"['lourie', 'linn']",['mayer'],5,23,0.5483870967741935
"4,581,953",1986-04-15 0:00,0,2002-06-21 0:00,"['gajarsa', 'linn', 'rader']",[],9,3,0.48823529411764705
"5,169,716",1992-12-08 0:00,0,2002-08-30 0:00,"['gajarsa', 'linn']",['mayer'],9,9,0.5483870967741935
"5,163,368",1992-11-17 0:00,0,2002-09-17 0:00,"['bryson', 'clevenger', 'rader']",[],17,14,0.48823529411764705
"5,174,205",1992-12-29 0:00,0,2002-09-17 0:00,"['bryson', 'clevenger', 'rader']",[],5,10,0.48823529411764705
"6,006,291",1999-12-21 0:00,0,2003-02-14 0:00,"['clevenger', 'mayer', 'michel']",[],3,7,0.6046511627906976
"5,476,778",1995-12-19 0:00,0,2003-02-21 0:00,"['clevenger', 'mayer', 'rader']",[],19,14,0.48823529411764705
"4,505,373",1985-03-19 0:00,0,2003-04-01 0:00,"['bryson', 'schall', 'rader']",[],4,1,0.48823529411764705
"4,519,494",1985-05-28 0:00,0,2003-04-01 0:00,"['bryson', 'schall', 'rader']",[],5,0,0.48823529411764705
"4,569,444",1986-02-11 0:00,0,2003-04-01 0:00,"['bryson', 'schall', 'rader']",[],8,0,0.48823529411764705
"4,135,202",1979-01-16 0:00,0,2003-07-21 0:00,"['schall', 'dyk', 'gajarsa']",[],30,3,0.6538461538461539
"6,017,855",2000-01-25 0:00,0,2003-08-06 0:00,"['dyk', 'prost', 'mayer']",[],1,7,0.5548387096774193
"3,882,638",1975-05-13 0:00,0,1994-09-12 0:00,"['mayer', 'lourie', 'rader']",[],12,6,0.48823529411764705
"3,972,123",1976-08-03 0:00,0,1994-09-12 0:00,"['mayer', 'lourie', 'rader']",[],14,6,0.48823529411764705
"4,412,402",1983-11-01 0:00,0,1994-09-12 0:00,"['mayer', 'lourie', 'rader']",[],21,6,0.48823529411764705
"4,621,077",1986-11-04 0:00,0,2003-10-30 0:00,"['newman', 'mayer', 'prost']",[],44,13,0.7710280373831776
"4,785,822",1988-11-22 0:00,0,2003-12-04 0:00,"['mayer', 'michel', 'rader']",[],20,0,0.48823529411764705
"5,673,989",1997-10-07 0:00,0,2004-01-20 0:00,"['schall', 'prost', 'archer']",[],3,12,0.5084745762711864
"5,926,792",1999-07-20 0:00,0,2004-03-01 0:00,"['bryson', 'prost', 'rader']",[],7,11,0.48823529411764705
"4,940,658",1990-07-10 0:00,0,2004-06-08 0:00,"['schall', 'friedman', 'rader']",[],29,14,0.48823529411764705
"5,969,119",1999-10-19 0:00,0,2010-03-25 0:00,"['lourie', 'gajarsa', 'moore']",[],2,16,0.484375
"4,562,181",1985-12-31 0:00,0,2004-07-27 0:00,"['schall', 'dyk', 'gajarsa']",[],11,3,0.6538461538461539
"4,820,833",1989-04-11 0:00,0,2004-07-27 0:00,"['schall', 'dyk', 'gajarsa']",[],10,3,0.6538461538461539
"4,407,288",1983-10-04 0:00,0,2004-08-31 0:00,"['newman', 'friedman', 'rader']",[],63,94,0.48823529411764705
"5,763,047",1998-06-09 0:00,0,2004-09-14 0:00,"['lourie', 'michel', 'rader']",[],3,1,0.48823529411764705
"5,804,112",1998-09-08 0:00,0,2004-09-14 0:00,"['lourie', 'michel', 'rader']",[],1,0,0.48823529411764705
"4,588,580",1986-05-13 0:00,0,2004-12-10 0:00,"['newman', 'dyk', 'archer']",[],88,25,0.5084745762711864
"3,921,120",1975-11-18 0:00,0,2005-02-28 0:00,"['schall', 'michel']",[],14,0,0.6046511627906976
"4,029,233",1977-06-14 0:00,0,2005-02-28 0:00,"['schall', 'michel']",[],2,0,0.6046511627906976
"5,845,265",1998-12-01 0:00,0,2005-03-16 0:00,"['bryson', 'clevenger']",[],60,154,0.6170212765957447
"4,636,214",1987-01-13 0:00,0,2005-03-28 0:00,"['dyk', 'prost', 'rader']",[],7,1,0.48823529411764705
"5,222,985",1993-06-29 0:00,0,2005-03-28 0:00,"['dyk', 'prost', 'rader']",[],5,4,0.48823529411764705
"5,799,151",1998-08-25 0:00,0,2005-04-22 0:00,"['newman', 'dyk', 'bryson']",[],58,110,0.7303370786516854
"5,697,882",1997-12-16 0:00,0,2005-05-10 0:00,"['bryson', 'mayer', 'lourie']",[],217,152,0.6452830188679245
"5,711,752",1998-01-27 0:00,0,2005-05-16 0:00,"['dyk', 'lourie', 'plager']",[],19,3,0.6282051282051282
"5,505,233",1996-04-09 0:00,0,2002-06-24 0:00,"['bryson', 'friedman', 'clevenger']",[],2,2,0.6170212765957447
"5,951,927",1999-09-14 0:00,0,2005-08-08 0:00,"['newman', 'dyk', 'schall']",[],3,10,0.5961538461538461
"6,076,094",2000-06-13 0:00,0,2005-08-19 0:00,"['dyk', 'mayer', 'rader']",[],4,21,0.48823529411764705
"5,110,046",1992-05-05 0:00,0,2005-09-19 0:00,"['clevenger', 'dyk', 'rader']",[],9,6,0.48823529411764705
"4,981,797",1991-01-01 0:00,0,2005-10-05 0:00,"['dyk', 'prost', 'rader']",[],4,5,0.48823529411764705
"5,464,709",1995-11-07 0:00,0,2006-01-25 0:00,"['newman', 'schall', 'archer']",[],15,4,0.5084745762711864
"5,658,590",1997-08-19 0:00,0,2011-07-29 0:00,"['newman', 'lourie']",[],15,12,0.6452830188679245
"6,266,892",2001-07-31 0:00,0,2011-09-02 0:00,"['bryson', 'mayer']",[],7,23,0.5548387096774193
"6,298,577",2001-10-09 0:00,0,2011-09-02 0:00,"['bryson', 'mayer']",[],4,12,0.5548387096774193
"4,550,540",1985-11-05 0:00,0,1995-01-04 0:00,"['newman', 'plager']",['mayer'],19,10,0.5483870967741935
"6,306,382",2001-10-23 0:00,0,2006-03-21 0:00,"['newman', 'mayer', 'gajarsa']",[],4,0,0.6538461538461539
