"4,537,375"	1985-08-27 0:00	0	2001-11-13 0:00	"['newman', 'michel', 'schall']"	[]
"4,973,511"	1990-11-27 0:00	0	2002-05-13 0:00	"['clevenger', 'lourie', 'gajarsa']"	[]
"6,039,119"	2000-03-21 0:00	0	2002-05-14 0:00	"['schall', 'mayer', 'lourie']"	[]
"5,575,405"	1996-11-19 0:00	0	2002-06-07 0:00	"['lourie', 'linn']"	['mayer']
"4,581,953"	1986-04-15 0:00	0	2002-06-21 0:00	"['gajarsa', 'linn', 'rader']"	[]
"5,169,716"	1992-12-08 0:00	0	2002-08-30 0:00	"['gajarsa', 'linn']"	['mayer']
"5,163,368"	1992-11-17 0:00	0	2002-09-17 0:00	"['bryson', 'clevenger', 'rader']"	[]
"5,174,205"	1992-12-29 0:00	0	2002-09-17 0:00	"['bryson', 'clevenger', 'rader']"	[]
"6,006,291"	1999-12-21 0:00	0	2003-02-14 0:00	"['clevenger', 'mayer', 'michel']"	[]
"5,476,778"	1995-12-19 0:00	0	2003-02-21 0:00	"['clevenger', 'mayer', 'rader']"	[]
"4,505,373"	1985-03-19 0:00	0	2003-04-01 0:00	"['bryson', 'schall', 'rader']"	[]
"4,519,494"	1985-05-28 0:00	0	2003-04-01 0:00	"['bryson', 'schall', 'rader']"	[]
"4,569,444"	1986-02-11 0:00	0	2003-04-01 0:00	"['bryson', 'schall', 'rader']"	[]
"4,135,202"	1979-01-16 0:00	0	2003-07-21 0:00	"['schall', 'dyk', 'gajarsa']"	[]
"6,017,855"	2000-01-25 0:00	0	2003-08-06 0:00	"['dyk', 'prost', 'mayer']"	[]
"3,882,638"	1975-05-13 0:00	0	1994-09-12 0:00	"['mayer', 'lourie', 'rader']"	[]
"3,972,123"	1976-08-03 0:00	0	1994-09-12 0:00	"['mayer', 'lourie', 'rader']"	[]
"4,412,402"	1983-11-01 0:00	0	1994-09-12 0:00	"['mayer', 'lourie', 'rader']"	[]
